page_domain_root,type,country
vademec.ru,nonrelevant,Russia
investigator.org.ua,nonrelevant,Ukraine
securitylab.ru,relevant,Russia
mobiltelefon.ru,nonrelevant,Russia
hronika.info,unknown,Russia
segodnya.ua,underpressure,Russia
news.online.ua,nonrelevant,Ukraine
tayga.info,underpressure,Russia
bnn-news.ru,nonrelevant,Latvia
proficinema.ru,nonrelevant,Russia
progorod76.ru,relevant,Russia
sledcom.ru,relevant,Russia
sfera.fm,nonrelevant,Russia
news.ykt.ru,relevant,Russia
ura-inform.com,relevant,Russia
stanradar.com,relevant,Russia
opennet.ru,nonrelevant,Russia
autonews.ru,nonrelevant,Russia
tver.kp.ru,relevant,Russia
rv-ryazan.ru,relevant,Russia
matchtv.ru,nonrelevant,Russia
sntat.ru,relevant,Russia
abakan-news.ru,relevant,Russia
uzdaily.com,nonrelevant,Uzbekistan
nuz.uz,nonrelevant,Uzbekistan
intermedia.ru,nonrelevant,Russia
hetq.am,nonrelevant,Armenia
gorod55.ru,relevant,Russia
ukrainianwall.com,nonrelevant,Ukraine
sport.ua,nonrelevant,Ukraine
tverlife.ru,relevant,Russia
atom.belta.by,unknown,
business-gazeta.ru,relevant,Russia
rapsinews.ru,relevant,Russia
dobryanka-city.ru,nonrelevant,Russia
tver-portal.ru,relevant,Russia
perm.rbc.ru,relevant,Russia
belmarket.by,nonrelevant,Belarus
vietnam.vnanet.vn,nonrelevant,Vietnam
lifestyle.segodnya.ua,nonrelevant,Ukraine
057.ua,nonrelevant,Ukraine
news.rufox.ru,relevant,Russia
perm.kp.ru,relevant,Russia
kiev.segodnya.ua,nonrelevant,Ukraine
odessa-life.od.ua,nonrelevant,Ukraine
tema.in.ua,nonrelevant,Ukraine
vesti.uz,nonrelevant,Uzbekistan
monavista.ru,relevant,Russia
icmos.ru,relevant,Russia
belnovosti.by,relevant,Russia
openmarket.ru,nonrelevant,Russia
nta-pfo.ru,relevant,Russia
overclockers.ru,relevant,Russia
rkm.kiev.ua,nonrelevant,Ukraine
bloknot.ru,relevant,Russia
popmech.ru,nonrelevant,Russia
pda.kp.kz,relevant,Russia
radiosvoboda.org,underpressure,Czechia
education.24tv.ua,nonrelevant,Ukraine
viknaodessa.od.ua,nonrelevant,Ukraine
lifehack.segodnya.ua,nonrelevant,Ukraine
pcweek.ua,nonrelevant,Ukraine
meduza.io,underpressure,Russia
nv-online.info,nonrelevant,Ukraine
teknoblog.ru,relevant,Russia
cybersport.ru,nonrelevant,Russia
telesurtv.net,nonrelevant,Spain
hellomagazine.com,nonrelevant,Great Britain
kharkivoda.gov.ua,nonrelevant,Ukraine
novostey.com,nonrelevant,Ukraine
city.kharkov.ua,nonrelevant,Ukraine
stb.ua,nonrelevant,Ukraine
racurs.ua,nonrelevant,Ukraine
vlasti.net,nonrelevant,Ukraine
servernews.ru,nonrelevant,Russia
forum.finance.ua,nonrelevant,Ukraine
kolesa.ru,nonrelevant,Russia
auto.1prime.ru,nonrelevant,Russia
ng.kz,nonrelevant,Kazakhstan
tula.kp.ru,relevant,Russia
uralpolit.ru,relevant,Russia
di.se,nonrelevant,Sweden
rusprav.tv,relevant,Russia
dynamo.kiev.ua,nonrelevant,Ukraine
economy.24tv.ua,nonrelevant,Ukraine
novosti.ua,nonrelevant,Ukraine
pogoda.mail.ru,nonrelevant,Russia
chto-proishodit.ru,relevant,Russia
pravdasevera.ru,relevant,Russia
stav.kp.ru,relevant,Russia
ingushetia.ru,relevant,Russia
regions.ru,relevant,Russia
tvrain.ru,underpressure,Russia
rusradio.ru,relevant,Russia
vse42.ru,relevant,Russia
mk.mk.ua,nonrelevant,Ukraine
nasledie.pravda.ru,relevant,Russia
tech.segodnya.ua,nonrelevant,Ukraine
rsport.ria.ru,nonrelevant,Russia
ont.by,nonrelevant,Belarus
silver.ru,underpressure,Russia
motor.ru,nonrelevant,Russia
gov.karelia.ru,relevant,Russia
kvartiravmoskve.ru,nonrelevant,Russia
sova-center.ru,underpressure,Russia
zelenograd.ru,relevant,Russia
world.segodnya.ua,nonrelevant,Ukraine
re-port.ru,nonrelevant,Russia
ekabu.ru,nonrelevant,Russia
nowyny.eu,nonrelevant,Ukraine
lugradar.net,nonrelevant,Lugansk
roem.ru,relevant,Russia
tnt-online.ru,nonrelevant,Russia
kremlin.ru,relevant,Russia
russian.news.cn,nonrelevant,China
7dney.by,nonrelevant,Belarus
lesprom.com,nonrelevant,Russia
glavpost.com,nonrelevant,Ukraine
dv.kp.ru,relevant,Russia
xakac.info,relevant,Russia
informing.ru,relevant,Russia
pasmi.ru,unknown,Russia
minprom.ua,nonrelevant,Ukraine
kem.kp.ru,relevant,Russia
food.segodnya.ua,nonrelevant,Ukraine
radiokp.ru,relevant,Russia
novayagazeta-ug.ru,relevant,Russia
aif.ua,nonrelevant,Ukraine
compromat.ru,relevant,Russia
27r.ru,relevant,Russia
facenews.ua,nonrelevant,Ukraine
teleprogramma.pro,nonrelevant,Russia
rupor.info,nonrelevant,Ukraine
time.kz,nonrelevant,Kazakhstan
health.mail.ru,nonrelevant,Russia
fom.ru,relevant,Russia
73online.ru,relevant,Russia
taimyr24.ru,relevant,Russia
sakhalin.info,relevant,Russia
europe-echecs.com,nonrelevant,France
admkholmsk.ru,relevant,Russia
kvir.ru,relevant,Russia
digital.gov.ru,relevant,Russia
kazak-center.ru,relevant,Russia
samaratoday.ru,relevant,Russia
vestivrn.ru,relevant,Russia
isra.com,nonrelevant,Israel
nwab.ru,nonrelevant,Russia
hi-news.ru,nonrelevant,Russia
showbiz.24tv.ua,nonrelevant,Ukraine
corp.cnews.ru,nonrelevant,Russia
